"Num","Technician","Internal ID","Trip ID","Name","Description","Start Date","Start Time","End Time","Location Name","locid","Address","City","State","ZIP","Area","Zone","Repeat Interval","Next Trip Scheduled","Last Cleaned Faucet Count",
"3","Joseph Sterling Sac","S038","3995798","T001-02 - Line Cleaning","Early Access Time: 0830 Late access time: 2 pm & after Tues, Wed, Fri","01/07/2020","08:17","09:21","Original Petes (Roseville/Foothills)","3642","5005 Foothills Blvd ","Roseville","CA","95747","Sacramento","CA08","Every 2 weeks on Tuesday","03/03/2020","13",
"4","Joseph Sterling Sac","S038","3970298","T001-02 - Line Cleaning","Tuesdays 9am only Open at 11","02/18/2020","09:00","11:00","Onyx Club (Roseville/Main)","3623","116 Main St ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Tuesday","03/03/2020","11",
"5","Joseph Sterling Sac","S038","12744","T001-02 - Line Cleaning","10:30 am access Mon-Sat No service on Thursdays","01/07/2020","09:26","10:50","Diamond Plate Bar & Grill (Roseville/Foothills)","2373","5030 Foothills Blvd ","Roseville","CA","95747","Sacramento","CA08","Every 2 weeks on Tuesday","03/03/2020","17",
"6","Joseph Sterling Sac","S038","13839","T001-02 - Line Cleaning","pinky1114@ yahoo.com","01/07/2020","10:58","11:41","Mountain Mikes (Roseville/Foothills)","3461","3989 Foothills Blvd ","Roseville","CA","95747","Sacramento","CA08","Every 2 weeks on Tuesday","03/03/2020","8",
"7","Joseph Sterling Sac","S038","3996384","T001-02 - Line Cleaning","","01/07/2020","11:47","12:31","Elks Lodge (Roseville/Brady)","2502","3000 Brady Ln ","Roseville","CA","95747","Sacramento","CA08","Every 2 weeks on Tuesday","03/03/2020","6",
"1","Joseph Sterling Sac","S038","12075","T001-03 - Line Cleaning","","06/12/2019","06:00","06:48","Back Forty Texas BBQ (Roseville/Orlando)","1711","1201 Orlando Ave ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Wednesday","03/04/2020","6",
"2","Joseph Sterling Sac","S038","3985502","T001-03 - Line Cleaning","8am access Tues-Thurs morning access absolutely no Monday/Friday access","01/08/2020","07:00","08:00","Trocadero Club (Roseville/Church)","4730","119 Church St ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Wednesday","03/04/2020","10",
"3","Joseph Sterling Sac","S038","13733","T001-03 - Line Cleaning","Access between 8:30-9 a.m. Out by 11am Please email General Manager Steven Yoo at syoo@MikuniSushi.com and Floor Manager Ian Rahardja at irahardja@MikuniSushi.com the day prior to cleaning","02/19/2020","08:30","11:00","Mikunis (Roseville/Eureka)","3355","1565 Eureka Rd ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Wednesday","03/04/2020","8",
"4","Joseph Sterling Sac","S038","12272","T001-03 - Line Cleaning","Closed Mondays Someone onsite around 10:15-10:30 Out by 11:30","10/30/2019","08:59","10:07","Boxing Donkey (Roseville/Lincoln)","1905","300 Lincoln St ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Wednesday","03/04/2020","17",
"5","Joseph Sterling Sac","S038","13329","T001-03 - Line Cleaning","","01/08/2020","10:15","10:58","Just Kickin It Sports Bar & Grill (Roseville/Riverside Ave)","2955","313 Riverside Ave ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Wednesday","03/04/2020","11",
"6","Joseph Sterling Sac","S038","3990574","T001-03 - Line Cleaning","","01/08/2020","11:04","12:07","Riverside Pizza (Roseville/Riverside Ave)","4013","609 Riverside Ave ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Wednesday","03/04/2020","8",
"1","Joseph Sterling Sac","S038","14689","T001-04 - Line Cleaning","","01/09/2020","06:00","06:48","Skate Town Ice (Roseville/Orlando)","4307","1009 Orlando Ave ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Thursday","03/05/2020","6",
"2","Joseph Sterling Sac","S038","12157","T001-04 - Line Cleaning","","01/09/2020","06:58","07:33","Best Western Plus Orchid Hotel and Suites (Roseville/N Sunrise)","1793","130 N Sunrise Ave ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Thursday","03/05/2020","4",
"3","Joseph Sterling Sac","S038","13636","T001-04 - Line Cleaning","Cleaner - Phil: 916-968-7734  AM access only","03/05/2020","07:40","10:09","Mandangos (Roseville/N Sunrise)","3258","106 N Sunrise Ave ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Thursday","03/05/2020","32",
"4","Joseph Sterling Sac","S038","2316286","T001-04 - Line Cleaning","do not service Loomis Basin at this account","01/09/2020","09:28","09:48","Squeeze Inn (Roseville/N Sunrise)","1041728","106 N Sunrise Ave C1 ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Thursday","03/05/2020","3",
"5","Joseph Sterling Sac","S038","13569","T001-04 - Line Cleaning","Mondays 8am-11am No Tuesdays","02/06/2020","09:55","10:48","Lorenzos (Roseville/Sunrise)","3191","135 Sunrise Ave ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Thursday","03/05/2020","8",
"6","Joseph Sterling Sac","S038","14042","T001-04 - Line Cleaning","out by 11am","02/06/2020","10:00","11:00","Outback Steakhouse (Roseville/N Sunrise)","3662","181 N Sunrise Ave ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Thursday","03/05/2020","7",
"7","Joseph Sterling Sac","S038","14878","T001-04 - Line Cleaning","Please collect email  Clean and bill Sapporo at this location","01/09/2020","11:39","12:11","Soho Sushi (Roseville/Douglas)","4496","1811 Douglas Blvd ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Thursday","03/05/2020","5",
"8","Joseph Sterling Sac","S038","12414","T001-04 - Line Cleaning","","01/09/2020","12:17","12:50","California Roll & Grill (Roseville/Santa Clara)","2045","1725 Santa Clara Dr ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Thursday","03/05/2020","6",
"1","Joseph Sterling Sac","S038","12606","T001-05 - Line Cleaning","","09/06/2019","06:00","08:11","Claim Jumper (Roseville/Harding)","2237","250 Harding Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","03/06/2020","31",
"2","Joseph Sterling Sac","S038","11964","T001-05 - Line Cleaning","lori@almondtreelounge.com","01/10/2020","08:16","08:53","Almond Tree Grill & Lounge (Roseville/Harding)","1601","214 Harding Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","03/06/2020","5",
"3","Joseph Sterling Sac","S038","12380","T001-05 - Line Cleaning","ramirez@cafe-delicias.com","01/10/2020","08:58","09:20","Cafe Delicias #2 (Roseville/Harding)","2011","211 Harding Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","03/06/2020","2",
"4","Joseph Sterling Sac","S038","13924","T001-05 - Line Cleaning","9:30am access  Clean and bill Sapporo at this location","01/10/2020","09:28","10:52","Ninja Sushi (Roseville/Vernon)","3545","238 Vernon St ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","03/06/2020","14",
"5","Joseph Sterling Sac","S038","3970308","T001-05 - Line Cleaning","","01/10/2020","10:57","12:31","West House Hotel (Roseville/Atlantic)","13796","347 Atlantic St ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","03/06/2020","12",
"6","Joseph Sterling Sac","S038","3970331","T001-05 - Line Cleaning","","01/10/2020","12:36","13:06","Vernon Street Grill (Roseville/Vernon)","1071585","211 Vernon St ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","03/06/2020","2",
"7","Joseph Sterling Sac","S038","12797","T001-05 - Line Cleaning","The key to get in is in the corner smoke shop. Once upstairs, the bar is locked by a key pad. place 3 fingers on it to activate it, press each lit up number until all numbers are lit. Then the code is 2416, then the check mark. You do the same thing when you are done to lock it. When you turn the key in, they will sign for you.  Contact Dan: 530-748-2222","01/10/2020","13:12","13:47","Eagles (Roseville/Vernon)","2426","124 Vernon St ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","03/06/2020","5",
"8","Joseph Sterling Sac","S038","1571825","T001-05 - Line Cleaning","","01/10/2020","13:53","14:11","Taqueria Tapatio (Roseville/Douglas Blvd)","1024737","1025 Douglas Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","03/06/2020","4",
"1","Joseph Sterling Sac","S038","3970213","T001-06 - Line Cleaning","","05/20/2019","06:00","06:43","Whole Foods (Roseville/Galleria)","4840","1001 Galleria Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Monday","03/09/2020","7",
"2","Joseph Sterling Sac","S038","12723","T001-06 - Line Cleaning","Roseville_km@daveandbusters.com","01/13/2020","06:49","08:34","Dave & Busters (Roseville/Roseville)","2352","1174 Roseville Pky ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Monday","03/09/2020","12",
"3","Joseph Sterling Sac","S038","3991034","T001-06 - Line Cleaning","916-230-7366 - contact Rafael for service","01/13/2020","08:39","09:14","Zocalo (Roseville/Roseville)","4920","1182 Roseville Pkwy ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Monday","03/09/2020","9",
"4","Joseph Sterling Sac","S038","13730","T001-06 - Line Cleaning","concierge@mikunisushi.com","01/13/2020","09:20","10:05","Mikuni Kaizen (Roseville/Galleria Blvd)","3352","1017 Galleria Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Monday","03/09/2020","4",
"5","Joseph Sterling Sac","S038","12408","T001-06 - Line Cleaning","","01/13/2020","10:11","11:13","California Pizza Kitchen (Roseville/Roseville)","2039","1190 Roseville Pky ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Monday","03/09/2020","9",
"6","Joseph Sterling Sac","S038","4004098","T001-06 - Line Cleaning","","01/13/2020","11:18","11:50","Burger Lounge (Roseville/Roseville)","1086370","1198 Roseville Pkwy Ste 135 ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Monday","03/09/2020","3",
"7","Joseph Sterling Sac","S038","11988","T001-06 - Line Cleaning","someone on site 10:30am, opens at 11","01/13/2020","12:01","12:40","Anchors Fish N Chips (Roseville/Harding)","1625","116 Harding Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Monday","03/09/2020","5",
"8","Joseph Sterling Sac","S038","133395","T001-06 - Line Cleaning","tagueriaelburitoroseville@.com","01/13/2020","12:49","13:11","El Burrito (Roseville/Douglas)","8102","1850 Ste 510 Douglas Blvd. ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Monday","03/09/2020","5",
"9","Joseph Sterling Sac","S038","13861","T001-06 - Line Cleaning","","01/13/2020","13:17","13:46","Mountain Mikes (Roseville/Douglas)","3483","1850 Douglas Blvd ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Monday","03/09/2020","6",
"1","Joseph Sterling Sac","S038","5418901","T001-08 - Line Cleaning","Thursdays at 5am only. NO Fridays or Saturdays  use back door (long draw system) 2 person account","02/26/2020","05:00","06:30","Eureka (Roseville/Gibson)","1112297","234 Gibson Dr Suite 100 ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Wednesday","02/26/2020","8",
"2","Joseph Sterling Sac","S038","3985187","T001-08 - Line Cleaning","","01/15/2020","06:35","08:36","2M - Lazy Dog (Roseville/Gibson)","1037517","238 Gibson Drive ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Wednesday","02/26/2020","30",
"3","Joseph Sterling Sac","S038","3985192","T001-08 - Line Cleaning","","01/15/2020","08:50","10:50","2M - Brass Tap (Rocklin/Commons)","1026014","5150 Commons Dr Ste 101 ","Rocklin","CA","95677","Sacramento","CA08","Every 2 weeks on Wednesday","02/26/2020","43",
"4","Joseph Sterling Sac","S038","53491","T001-08 - Line Cleaning","Tue CLOSED Wednesday 10am-2pm Monday 10AM-2PM Thursday 10AM-2PM","02/26/2020","10:00","14:00","Jerseys Haircuts and Brews (Roseville/Stanford Ranch)","6386","6726 Stanford Ranch Rd Ste 4 ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Wednesday","02/26/2020","12",
"5","Joseph Sterling Sac","S038","3985597","T001-08 - Line Cleaning","","01/15/2020","12:12","12:41","Sushi Kokogan (Rocklin/Granite Dr)","1043943","4820 Granite Dr ","Rocklin","CA","95677","Sacramento","CA08","Every 2 weeks on Wednesday","02/26/2020","3",
"1","Joseph Sterling Sac","S038","12660","T001-09 - Line Cleaning","CornerPocket@Surewest.net Somebody onsite Thur 6am access is between 5:30am-5:45am","01/16/2020","06:00","08:28","Corner Pocket Sports Bar (Citrus Heights/Sunrise)","2291","7777 Sunrise Boulevard 1400 ","Citrus Heights","CA","95610","Sacramento","CA05","Every 2 weeks on Thursday","02/27/2020","24",
"2","Joseph Sterling Sac","S038","12652","T001-09 - Line Cleaning","coolriverpizza@comcast.net","01/16/2020","08:39","09:25","Cool River Pizza (Roseville/Cirby)","2283","1805 Cirby Way 3 ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Thursday","02/27/2020","7",
"3","Joseph Sterling Sac","S038","13971","T001-09 - Line Cleaning","","01/16/2020","09:34","10:20","Old Spaghetti Factory (Roseville/Sunrise)","3591","731 Sunrise Ave ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Thursday","02/27/2020","5",
"4","Joseph Sterling Sac","S038","14857","T001-09 - Line Cleaning","9:30 back door access before 11am or after 2:30pm  Clean and bill Sapporo at this location","01/16/2020","10:25","10:42","Sushi House (Roseville/Sunrise)","4475","901 Sunrise Ave ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Thursday","02/27/2020","4",
"5","Joseph Sterling Sac","S038","13056","T001-09 - Line Cleaning","glassturtle@gmail.com Arrive by 11am, out by 12:30pm","01/16/2020","10:42","11:45","Glass Turtle (Roseville/Sunrise)","2685","901 Sunrise Ave ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Thursday","02/27/2020","12",
"6","Joseph Sterling Sac","S038","2933504","T001-09 - Line Cleaning","sunrisethaicitrusheights@yahoo.com","01/16/2020","11:57","12:22","Sunrise Thai (Citrus Heights/Sunrise)","1065776","7777 Sunrise Blvd Ste 2200 ","Citrus Heights","CA","95610","Sacramento","CA05","Every 2 weeks on Thursday","02/27/2020","4",
"7","Joseph Sterling Sac","S038","1531817","T001-09 - Line Cleaning","blakemakayla@gmail.com","01/16/2020","12:31","12:59","Crepes & Burgers (Citrus Heights/Auburn)","1019263","8000 Auburn Blvd ","Citrus Heights","CA","95610","Sacramento","CA05","Every 2 weeks on Thursday","02/27/2020","6",
"1","Joseph Sterling Sac","S038","4004274","T001-10 - Line Cleaning","","05/24/2019","06:00","06:35","Cheesecake Factory (Roseville/Galleria)","4589","1127 Galleria Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","02/28/2020","3",
"2","Joseph Sterling Sac","S038","3970214","T001-10 - Line Cleaning","","01/17/2020","06:41","08:24","Red Robin (Roseville/Galleria)","3951","1184 Galleria Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","02/28/2020","16",
"3","Joseph Sterling Sac","S038","3990527","T001-10 - Line Cleaning","Early morning access. Open by 11 *Please clean Fort Rock Brewing at this account*","01/17/2020","08:32","08:59","Buckhorn Grill (Roseville/Galleria)","5027","1151 Galleria Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","02/28/2020","3",
"4","Joseph Sterling Sac","S038","3970218","T001-10 - Line Cleaning","","01/17/2020","08:59","09:22","Milos Grill (Roseville/Galleria Blvd)","3358","1151 Galleria Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","02/28/2020","2",
"5","Joseph Sterling Sac","S038","3990537","T001-10 - Line Cleaning","access 9:30-10:45am, out by 11am","01/31/2020","09:30","10:45","Krush Burger (Roseville/Galleria)","6844","1151 Galleria Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","02/28/2020","8",
"6","Joseph Sterling Sac","S038","3970220","T001-10 - Line Cleaning","Mon-Fri 10 am access Sat-Sun 9 am access","01/17/2020","10:16","10:41","Land Ocean (Roseville/Galleria)","8339","1151 Galleria Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","02/28/2020","4",
"7","Joseph Sterling Sac","S038","3990558","T001-10 - Line Cleaning","","01/17/2020","10:49","11:49","Buca Di Beppo (Roseville/Galleria)","1938","1212 Galleria Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","02/28/2020","5",
"8","Joseph Sterling Sac","S038","3990545","T001-10 - Line Cleaning","access 11:15-11:30am","01/17/2020","11:55","12:07","Arigato Sushi (Roseville/Galleria)","1672","1136 Galleria Boulevard ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","02/28/2020","1",
"9","Joseph Sterling Sac","S038","14482","T001-10 - Line Cleaning","","01/17/2020","12:16","12:54","Round Table (Roseville/Pleasant Grove)","4100","1020 Pleasant Grove Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","02/28/2020","7",
"10","Joseph Sterling Sac","S038","1875404","T001-10 - Line Cleaning","","01/17/2020","13:00","13:43","Mountain Mikes (Roseville/Pleasant Grove)","1033046","996 Pleasant Grove Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Friday","02/28/2020","8",
"1","Joseph Sterling Sac","S038","3991020","T021-07 - Line Cleaning","","01/14/2020","06:00","06:57","Tahoe Joes (Roseville/Taylor)","4518","1905 Taylor Rd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Tuesday","02/25/2020","6",
"2","Joseph Sterling Sac","S038","3990319","T021-07 - Line Cleaning","","01/14/2020","07:08","07:29","Hilton Garden Inn (Roseville/Taylor)","2794","1951 Taylor Rd ","Roseville","CA","95661","Sacramento","CA08","Every 2 weeks on Tuesday","02/25/2020","4",
"3","Joseph Sterling Sac","S038","12295","T021-07 - Line Cleaning","","01/14/2020","07:35","08:23","Brookfields Restaurant (Roseville/Taylor)","1928","1817 Taylor Rd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Tuesday","02/25/2020","8",
"4","Joseph Sterling Sac","S038","13265","T021-07 - Line Cleaning","","01/14/2020","08:29","09:44","Islands Fine Burgers (Roseville/Taylor)","2891","1902 Taylor Rd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Tuesday","02/25/2020","12",
"5","Joseph Sterling Sac","S038","1844978","T021-07 - Line Cleaning","Tuesdays 10am-2pm Call Kathrin@ 916-380-8156 and she will let you in. access through back kitchen door","11/19/2019","09:57","10:49","2M - Kathrins Biergarten (Rocklin/Granite)","1031967","4810 Granite Dr Ste 1A ","Rocklin","CA","95677","Sacramento","CA08","Every 2 weeks on Tuesday","02/25/2020","17",
"6","Joseph Sterling Sac","S038","3991071","T021-07 - Line Cleaning","","01/14/2020","10:59","11:33","Pizza Express (Rocklin/Pacific)","1803","5514 Pacific St ","Rocklin","CA","95677","Sacramento","CA08","Every 2 weeks on Tuesday","02/25/2020","6",
"7","Joseph Sterling Sac","S038","3985610","T021-07 - Line Cleaning","","05/21/2019","11:40","12:02","Cafe Delicias #3 (Rocklin/Pacific)","2012","5190 Pacific St ","Rocklin","CA","95677","Sacramento","CA08","Every 2 weeks on Tuesday","02/25/2020","5",
"1","Vissavong Chan SB","C040","3559131","T061-01 - Line Cleaning","","02/04/2019","08:22","09:12","The Garret (Campbell/S Bascom)","4608","1777 S Bascom Ave ","Campbell","CA","95008","South Bay","CA01","Every 2 weeks on Monday","03/02/2020","8",
"2","Vissavong Chan SB","C040","3559132","T061-01 - Line Cleaning","","02/04/2019","09:17","09:32","Courtyard By Marriot (Campbell/Creekside)","2304","655 Creekside Wy ","Campbell","CA","95008","South Bay","CA01","Every 2 weeks on Monday","03/02/2020","2",
"3","Vissavong Chan SB","C040","3559133","T061-01 - Line Cleaning","","02/04/2019","09:39","10:07","Double Tree (Campbell/S Bascom)","11244","1995 S. Bascom Ave ","Campbell","CA","95008","South Bay","CA01","Every 2 weeks on Monday","03/02/2020","4",
"4","Vissavong Chan SB","C040","3559134","T061-01 - Line Cleaning","","02/04/2019","10:13","10:30","Burger Lounge (Campbell/S Bascom)","1051213","1875 S Bascome Ave Ste 515 ","Campbell","CA","95008","South Bay","CA01","Every 2 weeks on Monday","03/02/2020","4",
"5","Vissavong Chan SB","C040","3559135","T061-01 - Line Cleaning","Do Not Clean Sapporo at this location","06/24/2019","10:37","11:03","Sushi Confidential (Campbell/E Campbell)","4471","247 E Campbell Ave ","Campbell","CA","95008","South Bay","CA04","Every 2 weeks on Monday","03/02/2020","2",
"6","Vissavong Chan SB","C040","3559136","T061-01 - Line Cleaning","","02/04/2019","11:48","12:54","Campbell Brewing (Campbell/E Campbell)","7600","200 E Campbell Ave. ","Campbell","CA","95008","South Bay","CA04","Every 2 weeks on Monday","03/02/2020","6",
"7","Vissavong Chan SB","C040","3559137","T061-01 - Line Cleaning","","02/04/2019","13:00","13:44","Flights (Campbell/E Campbell)","6506","368 E. Campbell ","Campbell","CA","95008","South Bay","CA04","Every 2 weeks on Monday","03/02/2020","9",
"8","Vissavong Chan SB","C040","3559138","T061-01 - Line Cleaning","","02/04/2019","13:49","15:00","Katie Blooms (Campbell/E Campbell)","2979","369 E Campbell Ave ","Campbell","CA","95008","South Bay","CA04","Every 2 weeks on Monday","03/02/2020","16",
"9","Vissavong Chan SB","C040","3559140","T061-01 - Line Cleaning","early morning cleanings only, 11am being the latest","02/04/2019","15:05","15:36","La Pizzeria Italian Pizza (Campbell/E Campbell)","3061","373 E Campbell Ave ","Campbell","CA","95008","South Bay","CA04","Every 2 weeks on Monday","03/02/2020","6",
"10","Vissavong Chan SB","C040","3559141","T061-01 - Line Cleaning","New Lockbox Code 2019 Alarm Code 3404","11/25/2019","15:41","16:15","Lvl Up (Campbell/E Campbell)","1044088","400 E Campbell Ave ","Campbell","CA","95008","South Bay","CA04","Every 2 weeks on Monday","03/02/2020","5",
"11","Vissavong Chan SB","C040","3559139","T061-01 - Line Cleaning","4-10 pm","02/04/2019","16:20","16:38","The Vesper (Campbell/E Campbell)","15393","394 E Campbell Ave ","Campbell","CA","95008","South Bay","CA04","Every 2 weeks on Monday","03/02/2020","5",
"12","Vissavong Chan SB","C040","3559142","T061-01 - Line Cleaning","","02/04/2019","16:43","17:11","Blue Line Pizza (Campbell/E Campbell)","5010","415 E Campbell Avenue ","Campbell","CA","95008","South Bay","CA04","Every 2 weeks on Monday","03/02/2020","5",
"1","Vissavong Chan SB","C040","3573773","T061-02 - Line Cleaning","No Thursdays. Access any other day from 745-10am only","04/16/2019","05:45","07:06","Rookies Sports Lodge (San Jose/Meridian)","4035","1535 Meridian Ave ","San Jose","CA","95125","South Bay","CA01","Every 2 weeks on Tuesday","03/03/2020","13",
"2","Vissavong Chan SB","C040","3571429","T061-02 - Line Cleaning","Access 9:30-11am","02/19/2019","07:11","07:26","Three Flame Restaurant (San Jose/Meridian)","4671","1547 Meridian Ave ","San Jose","CA","95125","South Bay","CA01","Every 2 weeks on Tuesday","03/03/2020","1",
"3","Vissavong Chan SB","C040","3571432","T061-02 - Line Cleaning","Access 10:30-12pm","12/24/2019","07:36","08:10","Kc Bar & Restaurant (San Jose/Leigh Ave)","2983","1070 Leigh Ave ","San Jose","CA","95126","South Bay","CA01","Every 2 weeks on Tuesday","03/03/2020","4",
"4","Vissavong Chan SB","C040","3571434","T061-02 - Line Cleaning","Access 8:30-11:30am","02/19/2019","08:22","08:50","Palermo (San Jose/Auzerais)","1049733","791 Auzerais Ave ","San Jose","CA","95126","South Bay","CA01","Every 2 weeks on Tuesday","03/03/2020","2",
"5","Vissavong Chan SB","C040","3571407","T061-02 - Line Cleaning","Access 9:30-2pm","02/19/2019","08:57","09:12","Tonys Place (San Jose/Park)","4704","956 Park Avenue ","San Jose","CA","95126","South Bay","CA04","Every 2 weeks on Tuesday","03/03/2020","2",
"6","Vissavong Chan SB","C040","3571440","T061-02 - Line Cleaning","Access 10:30-11:30am closes at 2:30  Clean and bill Sapporo at this location","02/18/2020","09:18","09:31","Blue Fin (San Jose/The Alameda)","1864","754 The Alameda ","San Jose","CA","95126","South Bay","CA01","Every 2 weeks on Tuesday","03/03/2020","1",
"7","Vissavong Chan SB","C040","5600726","T061-02 - Line Cleaning","","02/18/2020","09:38","10:23","Main Street Burgers (San Jose/Lincoln)","1116563","1100 Lincoln Ave Ste 160 ","San Jose","CA","95125","South Bay","CA01","Every 2 weeks on Tuesday","03/03/2020","1",
