Route - ID, Order Number, Driver 1 - ID, Driver 1 - First Name, Driver 1 - Last Name, Service Location - ID, Service Location - Description, Service Location - Address Line 1, Service Location - City, Service Location - Postal Code, Service Location - State, Service Location - Contact - First Name, Service Location - County, Latitude, Longitude, Session Date, Begin Date, Taken By, Pickup Quantities - Taps, Pickup Quantities - J&L Taps, Stop - Arrival Time, Stop - Departure Time, Special Instructions, Pickup Quantities - WWH Taps
CYCLE,64713_T0007_2020-03-24,A0011,Tyle,Alden CC,2418,Dry Creek Grill (San Jose/Hamilton),1580 Hamilton Ave,San Jose,95125,CA,CA01,South Bay,37293510,-121912960,2020-02-20,2019-04-23,Wine Line,12,4121788,2020-02-23 13:01:18,2020-02-23 14:56:18,Bobby@drycreekgrill.com,0
CYCLE,5470655_Z0001_2020-03-24,A0011,Tyle,Alden CC,1028,Fernwood Bar (Big Sur/Hwy 1),47200 Highway 1,Big Sur,93920,CA,CA12,Monterey/Santa Cruz,36260820,-121793180,2020-02-20,2020-02-11,Wine Lines,6,3403746,2020-02-23 16:58:58,2020-02-23 18:17:58,Please clean wine lines this cycle. J&L wine product,0
CYCLE,5491006_Z0001_2020-03-25,A0011,Tyle,Alden CC,1328,2M - The Lodge At Pebble Beach (Pebble Beach/17 Mile),17 Mile Dr.,Pebble Beach,93953,CA,CA12,Monterey/Santa Cruz,36568802,-121950586,2020-02-20,2020-02-12,Wine Lines,6,5491006,2020-02-23 19:30:10,2020-02-23 21:25:10,Clean Wine Lines this Trip,0
CYCLE,4158154_R0015_2020-03-25,A0011,Tyle,Alden CC,1093992,2M - Yardhouse (Concord/Diamond),2005 Diamond Blvd,Concord,94520,CA,CA07,East Bay,37972560,-122059580,2020-02-20,2020-01-01,Wk 3,6,4044805,2020-02-23 23:56:31,2020-02-24 01:56:31,Clean lines and faucets 81-130,0
CYCLE,5049402_S0006_2020-03-26,A0011,Tyle,Alden CC,1065198,Oeste (Oakland/Clay),722 Clay St,Oakland,94607,CA,CA03,East Bay,37800780,-122276290,2020-02-20,2019-10-10,Wine Lines,12,2849156,2020-02-24 02:25:48,2020-02-24 03:26:48,Clean Wine Lines this cycle.,0
CYCLE,16429_B0014_2020-03-30,A0011,Tyle,Alden CC,4889,2M - Yardhouse (San Jose/Santana),300 Santana Row,San Jose,95128,CA,CA04,South Bay,37322600,-121947520,2020-02-20,2019-03-04,Wk 2,8,16423,2020-02-24 04:41:21,2020-02-24 06:41:21,Faucets & Lines: 117-130 Faucets: 66-130,0
CYCLE,16429_C048_2020-03-30,A0011,Tyle,Alden CC,4889,2M - Yardhouse (San Jose/Santana),300 Santana Row,San Jose,95128,CA,CA04,South Bay,37322600,-121947520,2020-02-20,2019-03-04,Wk 2,8,16423,2020-02-24 06:41:21,2020-02-24 08:41:21,Faucets & Lines: 117-130 Faucets: 66-130,0
CYCLE,5092189_R0013_2020-03-31,A0011,Tyle,Alden CC,15541,Jacks Restaurant and Bar (San Mateo/S El Camino Real),1750 S El Camino Real,San Mateo,94402,CA,CA13,San Francisco,37551827,-122313909,2020-02-20,2020-01-07,Wine Lines,12,1361339,2020-02-24 09:37:32,2020-02-24 10:23:32,Clean wine lines this cycle,0
CYCLE,4714137_V0004_2020-03-31,A0011,Tyle,Alden CC,1210,2M - Jia Tellas Cambodian (Scotts Valley/Scotts Valley),5600 Scotts Valley Dr,Scotts Valley,95066,CA,CA12,Monterey/Santa Cruz,37061480,-122007060,2020-02-20,2019-12-10,,8,5333599,2020-02-24 11:39:45,2020-02-24 13:29:45,*Please clean lines this cycle* Mont/Tues Only Universal Key to the restaurant is in the back outside closet near pool tables with code 3297 to open the keybox. Key to the keg room is hanging on the wall next to the registers in Jia Tella’s on a thick red lanyard labeled KEG. Please return the key to the lock box and remember to lock up please!!,0
CYCLE,4714137_Z0003_2020-03-31,A0011,Tyle,Alden CC,1210,2M - Jia Tellas Cambodian (Scotts Valley/Scotts Valley),5600 Scotts Valley Dr,Scotts Valley,95066,CA,CA12,Monterey/Santa Cruz,37061480,-122007060,2020-02-20,2019-12-10,,8,5333599,2020-02-24 13:29:45,2020-02-24 15:19:45,*Please clean lines this cycle* Mont/Tues Only Universal Key to the restaurant is in the back outside closet near pool tables with code 3297 to open the keybox. Key to the keg room is hanging on the wall next to the registers in Jia Tella’s on a thick red lanyard labeled KEG. Please return the key to the lock box and remember to lock up please!!,0
CYCLE,2344093_C0016_2020-04-03,A0011,Tyle,Alden CC,4800,Vine Cinema & Alehouse (Livermore/1St),1722 1St St,Livermore,94550,CA,CA07,East Bay,37680000,-121774850,2020-02-20,2020-01-10,Wine Lines,12,15184,2020-02-24 17:11:17,2020-02-24 17:40:17,kway@vinecinema.com,0
CYCLE,16430_B0014_2020-04-06,A0011,Tyle,Alden CC,4889,2M - Yardhouse (San Jose/Santana),300 Santana Row,San Jose,95128,CA,CA04,South Bay,37322600,-121947520,2020-02-20,2019-03-11,Wk 3,8,16423,2020-02-24 18:44:29,2020-02-24 20:44:29,Lines: 1-15 Faucets: 1-65,0
CYCLE,16430_C048_2020-04-06,A0011,Tyle,Alden CC,4889,2M - Yardhouse (San Jose/Santana),300 Santana Row,San Jose,95128,CA,CA04,South Bay,37322600,-121947520,2020-02-20,2019-03-11,Wk 3,8,16423,2020-02-24 20:44:29,2020-02-24 22:44:29,Lines: 1-15 Faucets: 1-65,0
CYCLE,3506996_D0003_2020-04-06,A0011,Tyle,Alden CC,1179,2M - Buffalo Wild Wings (Salinas/N Main),1988 N Main St,Salinas,93906,CA,CA12,Monterey/Santa Cruz,36721040,-121655600,2020-02-20,2020-04-06,,8,5455080,2020-02-25 00:11:29,2020-02-25 01:51:29,Please service lines this cycle,0
CYCLE,3506996_E0002_2020-04-06,A0011,Tyle,Alden CC,1179,2M - Buffalo Wild Wings (Salinas/N Main),1988 N Main St,Salinas,93906,CA,CA12,Monterey/Santa Cruz,36721040,-121655600,2020-02-20,2020-04-06,,8,5455080,2020-02-25 01:51:29,2020-02-25 03:31:29,Please service lines this cycle,0
CYCLE,3864389_B0015_2020-04-07,A0011,Tyle,Alden CC,4598,The Counter (Fremont/Paseo Padre),39350 Paseo Padre Pky,Fremont,94538,CA,CA03,East Bay,37552440,-121978260,2020-02-20,2020-04-07,Wine Lines,12,3828699,2020-02-25 04:46:37,2020-02-25 05:59:37,Clean wine lines this cycle,0
CYCLE,16431_B0014_2020-04-13,A0011,Tyle,Alden CC,4889,2M - Yardhouse (San Jose/Santana),300 Santana Row,San Jose,95128,CA,CA04,South Bay,37322600,-121947520,2020-02-20,2019-05-13,Wk 4,8,16423,2020-02-25 06:46:58,2020-02-25 08:46:58,Lines: 16-32 Faucets: 66-130,0
CYCLE,16431_C048_2020-04-13,A0011,Tyle,Alden CC,4889,2M - Yardhouse (San Jose/Santana),300 Santana Row,San Jose,95128,CA,CA04,South Bay,37322600,-121947520,2020-02-20,2019-05-13,Wk 4,8,16423,2020-02-25 08:46:58,2020-02-25 10:46:58,Lines: 16-32 Faucets: 66-130,0
CYCLE,10996_A0008_2020-04-15,A0011,Tyle,Alden CC,1496,2M - Buffalo Wild Wings (Gilroy/Camino Arroyo),6805 Camino Arroyo,Gilroy,95020,CA,CA01,South Bay,37001630,-121555100,2020-02-20,2020-02-19,Faucets Only,8,2331734,2020-02-25 11:35:18,2020-02-25 13:10:18,"Clean  faucets only  8-9am access, must be out by 11am",0
CYCLE,3007790_S036_2020-04-16,A0011,Tyle,Alden CC,1729,The Golden Squirrel (Oakland/College),5940 College Ave,Oakland,94618,CA,CA03,East Bay,37847960,-122252010,2020-02-20,2020-04-16,Wine Lines,12,3701477,2020-02-25 15:09:52,2020-02-25 17:04:52,info@goldensquirrelpub.com,0
CYCLE,5132915_C0016_2020-04-17,A0011,Tyle,Alden CC,2596,First Street Alehouse (Livermore/First),2086 First St,Livermore,94550,CA,CA07,East Bay,37681540,-121770130,2020-02-20,2020-01-24,Wine Tower,12,3559021,2020-02-25 18:19:10,2020-02-25 20:10:10,Clean wine lines this cycle,0
CYCLE,5822508_A0011_2020-04-23,A0011,Tyle,Alden CC,1114309,Mason Bar (Arroyo Grande/E Branch),307 E Branch Street,Arroyo Grande,93420,CA,CA16,Central Coast,35124492,-120576589,2020-02-20,2020-04-23,Wine Lines,12,5574180,2020-02-26 00:41:13,2020-02-26 01:26:37,Clean Wine Lines This Cycle Access any day 6-7am Parking in back,0
CYCLE,5854160_A0011_2020-04-24,A0011,Tyle,Alden CC,1114344,Sideways Inn (Buellton/E CA-246),114 E Ca-246,Buellton,93427,CA,CA16,Central Coast,34614346,-120196367,2020-02-20,2020-04-24,Wine Lines,2,5574204,2020-02-26 02:12:05,2020-02-26 02:57:09,Clean Wine Lines this cycle Access any day at 6am Lydia Thomas - 805-688-8448,0
CYCLE,2930924_B0014_2020-04-27,A0011,Tyle,Alden CC,1060628,2M - River Rock Taproom (Sunnyvale/S Murphy),155 S Murphy St,Sunnyvale,94086,CA,CA04,South Bay,37376885,-122030566,2020-02-20,2019-03-04,Wine Lines,12,2837928,2020-02-26 08:03:38,2020-02-26 10:09:38,Info@riverrocktaproom.com,0
CYCLE,2930924_C048_2020-04-27,A0011,Tyle,Alden CC,1060628,2M - River Rock Taproom (Sunnyvale/S Murphy),155 S Murphy St,Sunnyvale,94086,CA,CA04,South Bay,37376885,-122030566,2020-02-20,2019-03-04,Wine Lines,12,2837928,2020-02-26 10:09:38,2020-02-26 12:15:38,Info@riverrocktaproom.com,0
CYCLE,3814998_B0010_2020-05-04,A0011,Tyle,Alden CC,1538,1400 Bar & Grill (Alameda/Webster),1400 Webster St,Alameda,94501,CA,CA03,East Bay,37771630,-122276600,2020-02-20,2019-03-11,Wine Lines,12,3814996,2020-02-26 13:41:03,2020-02-26 14:26:03,Clean wine lines this cycle Access at 10:30,0
CYCLE,258688_S0017_2020-05-05,A0011,Tyle,Alden CC,13383,Hillstone (San Francisco/Montgomery),1800 Montgomery Street,San Francisco,94111,CA,CA13,San Francisco,37805890,-122405300,2020-02-20,2020-05-05,Wine Lines,12,5287237,2020-02-26 15:15:55,2020-02-26 15:32:55,5:30 AM to 12:30 PM access time Please clean wine lines this cycle,0
CYCLE,5335639_A0005_2020-05-05,A0011,Tyle,Alden CC,1358,Pabu (San Francisco/California),101 California St,San Francisco,94111,CA,CA13,San Francisco,37792700,-122398310,2020-02-20,2020-02-11,Sake Lines,12,9056,2020-02-26 15:42:58,2020-02-26 16:09:58,"Clean Sake line this Cycle access at 10:30am, out by 11",0
CYCLE,3403333_D0003_2020-05-07,A0011,Tyle,Alden CC,1272,Kuumbwa Jazz Center (Santa Cruz/Cedar),320 Cedar St,Santa Cruz,95060,CA,CA12,Monterey/Santa Cruz,36969940,-122026350,2020-02-20,2020-02-13,Wine Lines Only,12,3403324,2020-02-26 17:59:31,2020-02-26 18:22:31,Clean wine lines this cycle,0
CYCLE,5822595_A0011_2020-05-07,A0011,Tyle,Alden CC,1114283,Full Of Life Foods (Los Alamos/Bell),225 Bell Street,Los Alamos,93440,CA,CA16,Central Coast,34744600,-120282460,2020-02-20,2020-02-13,Wine Lines,12,5574198,2020-02-26 22:38:36,2020-02-26 23:24:00,Clean Wine Lines This Cycle,0
CYCLE,5279425_H0003_2020-05-11,A0011,Tyle,Alden CC,3383,MOD Pizza (San Jose/Cottle),5670 Cottle Rd Ste 20,San Jose,95123,CA,CA01,South Bay,37245487,-121803773,2020-02-20,2020-02-17,Wine Lines,12,3559147,2020-02-27 02:55:16,2020-02-27 03:22:16,,0
CYCLE,5874365_A0011_2020-05-12,A0011,Tyle,Alden CC,1114304,Libertine Brewing Company (Morro Bay/Embarcadero),801 Embarcadero,Morro Bay,93442,CA,CA16,Central Coast,35365860,-120853400,2020-02-20,2020-02-18,Wine Lines,12,5572837,2020-02-27 06:51:53,2020-02-27 07:37:17,,0
CYCLE,3844663_I001_2020-05-12,A0011,Tyle,Alden CC,2864,The Oxford (Sunnyvale/S Murphy),193 S Murphy Ave,Sunnyvale,94086,CA,CA04,South Bay,37376882,-122030187,2020-02-20,2019-03-19,Wine Lines,12,3571467,2020-02-27 11:27:46,2020-02-27 12:11:46,Clean wine lines this cycle,0
CYCLE,3864609_K009_2020-05-12,A0011,Tyle,Alden CC,3860,Porkys Pizza Palace (San Leandro/Manor),1221 Manor Blvd,San Leandro,94579,CA,CA03,East Bay,37691400,-122152350,2020-02-20,2019-03-19,Wine Lines,12,3864607,2020-02-27 13:14:28,2020-02-27 14:17:28,Clean ALL wine lines this cycle,0
CYCLE,2364722_B0014_2020-05-12,A0011,Tyle,Alden CC,1015711,2M - The Halford (Santa Clara/Halford),1494 Halford Ave,Santa Clara,95051,CA,CA04,South Bay,37351410,-122000050,2020-02-20,2018-10-02,Wine Lines,12,1519383,2020-02-27 15:13:56,2020-02-27 20:11:56,Please collect email,0
CYCLE,2364722_C048_2020-05-12,A0011,Tyle,Alden CC,1015711,2M - The Halford (Santa Clara/Halford),1494 Halford Ave,Santa Clara,95051,CA,CA04,South Bay,37351410,-122000050,2020-02-20,2018-10-02,Wine Lines,12,1519383,2020-02-27 20:11:56,2020-02-28 01:09:56,Please collect email,0
OPENSB_H0003,12594_H0003_2020-03-02,H0003,Brody,Hillman SB,2225,Cinnabar Hills Golf Club (San Jose/Mckean),23600 Mckean Rd,San Jose,95141,CA,CA01,South Bay,37169529,-121750690,2020-02-20,2020-02-17,,2,0,2020-03-02 06:00:00,2020-03-02 06:42:00,6-11am only,0
OPENSB_H0003,3559143_H0003_2020-03-02,H0003,Brody,Hillman SB,4219,Santa Teresa Golf (San Jose/Bernal),260 Bernal Rd,San Jose,95119,CA,CA01,South Bay,37219560,-121776790,2020-02-20,2020-02-17,,2,0,2020-03-02 07:02:05,2020-03-02 08:01:05,Access after 5am must be done before 11am,0
OPENSB_H0003,3559146_H0003_2020-03-02,H0003,Brody,Hillman SB,1024674,Applebees (San Jose/Cottle),5690 Cottle Road,San Jose,95123,CA,CA01,South Bay,37245442,-121803773,2020-02-20,2020-02-17,,2,0,2020-03-02 08:14:54,2020-03-02 09:02:54,8-11am only,0
