,type,location,distributor,city,tapname,flag,brand_audit
30,dist,Assemble Restaurant at Craneway Pavilion (Richmond/Harbour),BAY AREA BEVERAGE,Richmond,Lagunitas Pils Czech Style,Not associated with BAY AREA BEVERAGE last cycle.,
31,dist,Beast + Bounty (Sacramento/R),WINE WAREHOUSE,Sacramento,The Bruery Mischief,Not associated with WINE WAREHOUSE last cycle.,
32,dist,Bibos NY Pizza (San Jose/Bird),GOLDEN BRANDS - SAN JOSE,San Jose,Firestone Nitro Merlin,Not associated with GOLDEN BRANDS - SAN JOSE last cycle.,
33,dist,Bibos NY Pizza (San Jose/Bird),GOLDEN BRANDS - SAN JOSE,San Jose,Russian River Blind Pig IPA,Not associated with GOLDEN BRANDS - SAN JOSE last cycle.,
34,dist,Buffalo Wild Wings (Yuba City/Harter),GOLDEN BRANDS - SACRAMENTO,Yuba City,Heineken,Not associated with GOLDEN BRANDS - SACRAMENTO last cycle.,
35,dist,California Craft Beer (Fremont/Mission),ALTAMONT BEER WORKS,Fremont,Altamont Beer Works Catty Shack,Not associated with ALTAMONT BEER WORKS last cycle.,
36,dist,California Craft Beer (Fremont/Mission),BAY AREA BEVERAGE,Fremont,Moonlight Reality Check,Not associated with BAY AREA BEVERAGE last cycle.,
37,dist,Chicago Fire (Roseville/N Sunrise),BIKE DOG BREWING,Roseville,Bike Dog Milk Stout,Not associated with BIKE DOG BREWING last cycle.,
38,dist,Chilis (Pittsburg/Century),ALTAMONT BEER WORKS,Pittsburg,Altamont Beer Work Maui Waui IPA,Not associated with ALTAMONT BEER WORKS last cycle.,
39,dist,City Cafe (Yuba City/Plumas),GOLDEN BRANDS - BUTTE,Yuba City,Anderson Valley Boont Amber,Not associated with GOLDEN BRANDS - BUTTE last cycle.,
40,dist,Club Raven (Sacramento/J),SACCANI,Sacramento,North Coast Scrimshaw Pilsner,Not associated with SACCANI last cycle.,
41,dist,Dawsons Bar & Cafe (Dixon/N 1st),SACCANI,Dixon,Lagunitas Little Sumpin,Not associated with SACCANI last cycle.,
42,dist,De Laveaga Golf Course (Santa Cruz/Upper Park),DISCRETION BREWING,Santa Cruz,Discretion Uncle Dave's,Not associated with DISCRETION BREWING last cycle.,
43,dist,De Laveaga Golf Course (Santa Cruz/Upper Park),DISCRETION BREWING,Santa Cruz,Discretion Uncle Dave's Rye IPA,Not associated with DISCRETION BREWING last cycle.,
44,dist,Diamond Plate Bar & Grill (Roseville/Foothills),SACCANI,Roseville,Lagunitas,Not associated with SACCANI last cycle.,
45,dist,Diegos (Grass Valley/Colfax),MUSSETTER,Grass Valley,Ol' Republic Celtic Red,Not associated with MUSSETTER last cycle.,
46,dist,Escape Folsom (Folsom/Traders),LOOMIS BASIN BREWING,Folsom,Loomis Basin High Jacked,Not associated with LOOMIS BASIN BREWING last cycle.,
47,dist,Farm Star Pizza (Chico/Esplanade),GOLDEN BRANDS - BUTTE,Chico,Fall River Irish Cream Stout,Not associated with GOLDEN BRANDS - BUTTE last cycle.,
48,dist,Farm Star Pizza (Chico/Esplanade),WINE WAREHOUSE,Chico,Almanac,Not associated with WINE WAREHOUSE last cycle.,
49,dist,Flaming Grill Cafe (West Sacramento/Harbor),GOLDEN BRANDS - SACRAMENTO,West Sacramento,Knee Deep Brewing 5 Blind Mice,Not associated with GOLDEN BRANDS - SACRAMENTO last cycle.,
50,dist,Foothill Beer Temple (Shingle Springs/Motherlode),BIKE DOG BREWING,Shingle Springs,Bike Dog Mosaic Pale Ale,Not associated with BIKE DOG BREWING last cycle.,
51,dist,Formaggio Taverna (Inside Marriott) (Rancho Cordova/Point East),SACCANI,Rancho Cordova,Lagunitas Lagur,Not associated with SACCANI last cycle.,
52,dist,Formaggio Taverna (Inside Marriott) (Rancho Cordova/Point East),SACCANI,Rancho Cordova,Sudwerk The Peoples Pils,Not associated with SACCANI last cycle.,
53,dist,Front & Cooper (Santa Cruz/Front),DISCRETION BREWING,Santa Cruz,Discretion Shimmer Pils,Not associated with DISCRETION BREWING last cycle.,
54,dist,Front Street Station Pizza (Tahoe City/West River),MARKSTEIN BEVERAGE CO - SACTO (CA08),Tahoe City,Firestone Walker 805,Not associated with MARKSTEIN BEVERAGE CO - SACTO (CA08) last cycle.,
55,dist,Front Street Station Pizza (Tahoe City/West River),MARKSTEIN BEVERAGE CO - SACTO (CA08),Tahoe City,Sierra Nevada Celebration Fresh Hop IPA,Not associated with MARKSTEIN BEVERAGE CO - SACTO (CA08) last cycle.,
56,dist,Gaslight Company (Folsom/Sutter),WINE WAREHOUSE,Folsom,North Coast Scrimshaw,Not associated with WINE WAREHOUSE last cycle.,
57,dist,Gaslight Company (Folsom/Sutter),WINE WAREHOUSE,Folsom,Off Shoot Beer Co. Retreat Hazy IPA,Not associated with WINE WAREHOUSE last cycle.,
58,dist,Handle Bar (Chico/E 20th),CROOKED LANE BREWING,Chico,Crooked Lane Brewing,Not associated with CROOKED LANE BREWING last cycle.,
59,dist,Hollins House Restaurant (Santa Cruz/Clubhouse),COUCH DISTRIBUTING,Santa Cruz,Anchor Steam,Not associated with COUCH DISTRIBUTING last cycle.,
60,dist,Hollins House Restaurant (Santa Cruz/Clubhouse),ELYXIR DISTRIBUTING,Santa Cruz,Coors Light,Not associated with ELYXIR DISTRIBUTING last cycle.,
61,dist,Hyatt Regency Sacramento (Sacramento/L),CROOKED LANE BREWING,Sacramento,Crooked Lane Brewing Blood Sample,Not associated with CROOKED LANE BREWING last cycle.,
62,dist,Italian Cottage (Chico/Esplanade),WINE WAREHOUSE,Chico,Almanac IPA,Not associated with WINE WAREHOUSE last cycle.,
63,dist,Lahonton Golf Club (Truckee/Lodge Trail),MUSSETTER,Truckee,Out of Bounds Joyrider IPA,Not associated with MUSSETTER last cycle.,
64,dist,Limelight Bar & Cafe (Sacramento/Alhambra),BIKE DOG BREWING,Sacramento,Bike Dog Summer Is Always Helles,Not associated with BIKE DOG BREWING last cycle.,
65,dist,Marriott (Walnut Creek/N Main),BAY AREA BEVERAGE,Walnut Creek,Heineken Lager,Not associated with BAY AREA BEVERAGE last cycle.,
66,dist,Meridian Restaurant (Lincoln/Orchard Creek),GOLDEN BRANDS - SACRAMENTO,Lincoln,Coors Light,Not associated with GOLDEN BRANDS - SACRAMENTO last cycle.,
67,dist,Meridian Restaurant (Lincoln/Orchard Creek),MUSSETTER,Lincoln,Auburn Ale House Old Town Brown,Not associated with MUSSETTER last cycle.,
68,dist,Metro City (Sunnyvale/S Murphy Ave),GOLDEN BRANDS - SAN JOSE,Sunnyvale,Dogfish Brewery,Not associated with GOLDEN BRANDS - SAN JOSE last cycle.,
69,dist,Metro City (Sunnyvale/S Murphy Ave),GOLDEN BRANDS - SAN JOSE,Sunnyvale,Lagunitas,Not associated with GOLDEN BRANDS - SAN JOSE last cycle.,
70,dist,Mojos Lounge (Woodland/1St),CROOKED LANE BREWING,Woodland,Crooked Lane Brewing No Hands IPA,Not associated with CROOKED LANE BREWING last cycle.,
71,dist,Newcastle Pizzeria (Newcastle/Main),MARKSTEIN BEVERAGE CO - SACTO (CA08),Newcastle,Revision IPA,Not associated with MARKSTEIN BEVERAGE CO - SACTO (CA08) last cycle.,
72,dist,Newcastle Pizzeria (Newcastle/Main),WINE WAREHOUSE,Newcastle,North Coast Scrimshaw Pilsner,Not associated with WINE WAREHOUSE last cycle.,
73,dist,Nom Burger (Sunnyvale/W Washington),GOLDEN BRANDS - SAN JOSE,Sunnyvale,Firestone Helluva Brulee,Not associated with GOLDEN BRANDS - SAN JOSE last cycle.,
74,dist,Palermo Ristorante Italiano (Elk Grove/Emerald Oak),MARKSTEIN BEVERAGE CO - SACTO,Elk Grove,Track 7 Brewing Blonde,Not associated with MARKSTEIN BEVERAGE CO - SACTO last cycle.,
75,dist,Palermo Ristorante Italiano (Elk Grove/Emerald Oak),MARKSTEIN BEVERAGE CO - SACTO,Elk Grove,Track 7 Brewing Panic IPA,Not associated with MARKSTEIN BEVERAGE CO - SACTO last cycle.,
76,dist,Paragarys (Sacramento/28th),SACCANI,Sacramento,New Glory,Not associated with SACCANI last cycle.,
77,dist,Post No Bills (Seaside/Ortiz),DISCRETION BREWING,Seaside,Discretion Brewing Martian Sky,Not associated with DISCRETION BREWING last cycle.,
78,dist,Primos Restaurant (South Lake Tahoe/Lake Tahoe),SACCANI,South Lake Tahoe,Belching Beaver Deftones Phantom Bride,Not associated with SACCANI last cycle.,
79,dist,R 15 (Sacramento/R),BIKE DOG BREWING,Sacramento,Bike Dog Pro Zach,Not associated with BIKE DOG BREWING last cycle.,
80,dist,Rio City Cafe (Sacramento/Front),SACCANI,Sacramento,Lagunitas Little Sumpin,Not associated with SACCANI last cycle.,
81,dist,Riva Grill (South Lake Tahoe/Ski Run),MUSSETTER,South Lake Tahoe,Auburn Ale House Brewmasters Pub,Not associated with MUSSETTER last cycle.,
82,dist,Solomons Delicatessen (Sacramento/K),BIKE DOG BREWING,Sacramento,Bike Dog Milk Stout,Not associated with BIKE DOG BREWING last cycle.,
83,dist,Sonora Tap Room (Sonora/E Linoberg),WINE WAREHOUSE (CA14),Sonora,North Coast Berliner Weisse,Not associated with WINE WAREHOUSE (CA14) last cycle.,
84,dist,Splunk (San Jose/Olsen),ANHEUSER-BUSCH BAY AREA SALES,San Jose,Elysian Space Dust,Not associated with ANHEUSER-BUSCH BAY AREA SALES last cycle.,
85,dist,Splunk (San Jose/Olsen),ANHEUSER-BUSCH BAY AREA SALES,San Jose,Golden Road Hefeweizen,Not associated with ANHEUSER-BUSCH BAY AREA SALES last cycle.,
86,dist,Stay Gold Deli (Oakland/San Pablo),WINE WAREHOUSE,Oakland,East Brother Beer Company Freighter Series,Not associated with WINE WAREHOUSE last cycle.,
87,dist,Stay Gold Deli (Oakland/San Pablo),WINE WAREHOUSE,Oakland,North Coast Scrimshaw Pilsner,Not associated with WINE WAREHOUSE last cycle.,
88,dist,Surf City Sandwich (Soquel/Soquel Drive),PREMIUM BEVERAGE,Soquel,Dust Bowl Brewing Therapist Imperial IPA,Not associated with PREMIUM BEVERAGE last cycle.,
89,dist,Swiss Park (Newark/Mowry Ave),ANHEUSER-BUSCH BAY AREA SALES,Newark,Elysian Space Dust,Not associated with ANHEUSER-BUSCH BAY AREA SALES last cycle.,
90,dist,The Commons (Chico/Park),Farmers Brewing,Chico,Farmers Brewing,Not associated with Farmers Brewing last cycle.,
91,dist,The Golden Bear (Sacramento/K),BIKE DOG BREWING,Sacramento,Bike Dog White Paw Hard Seltzer,Not associated with BIKE DOG BREWING last cycle.,
92,dist,The Golden Bear (Sacramento/K),MARKSTEIN BEVERAGE CO - SACTO,Sacramento,Sierra Nevada Hoppy Annivesary Ale,Not associated with MARKSTEIN BEVERAGE CO - SACTO last cycle.,
93,dist,The Golden Bear (Sacramento/K),WINE WAREHOUSE,Sacramento,North Coast Red Seal Nitro,Not associated with WINE WAREHOUSE last cycle.,
94,dist,The Lost Dutchman (Chico/Lost Dutchman),SIERRA NEVADA,Chico,Sierra Nevada Who This Be,Not associated with SIERRA NEVADA last cycle.,
95,dist,The Lost Dutchman (Chico/Lost Dutchman),WINE WAREHOUSE,Chico,New Holland Brewing,Not associated with WINE WAREHOUSE last cycle.,
96,dist,Trailblazer Craft Pizza And Brews (Grass Valley/Johnson Place),LOOMIS BASIN BREWING,Grass Valley,Loomis Basin Cashmere,Not associated with LOOMIS BASIN BREWING last cycle.,
97,dist,Willo Rest (Nevada City/Ca-49),MUSSETTER,Nevada City,Ol' Republic Dead Canary,Not associated with MUSSETTER last cycle.,
98,dist,Woodstocks Pizza (Santa Cruz/Front),SANTA CRUZ MOUNTAIN BREWING,Santa Cruz,Santa Cruz Mountain Amber,Not associated with SANTA CRUZ MOUNTAIN BREWING last cycle.,
99,tap change,17th Street Public House (Merced/W Main),Donaghy,Merced,Ace Perry Cider,Ace Perry Cider was not cleaned last cycle,
100,tap change,17th Street Public House (Merced/W Main),Donaghy,Merced,Dust Bowl Hops Of Wrath Ipa,Dust Bowl Hops Of Wrath Ipa was not cleaned last cycle,
101,tap change,17th Street Public House (Merced/W Main),Valley Wide Beverage,Merced,Full Circle Creamzilla,Full Circle Creamzilla was not cleaned last cycle,
102,tap change,17th Street Public House (Merced/W Main),WINE WAREHOUSE (CA14),Merced,Allagash White,Allagash White was not cleaned last cycle,
103,tap change,17th Street Public House (Merced/W Main),WINE WAREHOUSE (CA14),Merced,Almanac Boost Coffee Stout,Almanac Boost Coffee Stout was not cleaned last cycle,
104,tap change,17th Street Public House (Merced/W Main),WINE WAREHOUSE (CA14),Merced,Almanac Raspberry Sournova,Almanac Raspberry Sournova was not cleaned last cycle,
105,tap change,17th Street Public House (Merced/W Main),WINE WAREHOUSE (CA14),Merced,Almanac Vibes Pilsner,Almanac Vibes Pilsner was not cleaned last cycle,
106,tap change,17th Street Public House (Merced/W Main),WINE WAREHOUSE (CA14),Merced,East Brothers Baltic Porter,East Brothers Baltic Porter was not cleaned last cycle,
107,tap change,17th Street Public House (Merced/W Main),WINE WAREHOUSE (CA14),Merced,Mission Brewery California Craft Lager,Mission Brewery California Craft Lager was not cleaned last cycle,
108,tap change,18th Barrel Tasting Room (San Juan Bautista/3rd),ALVARADO STREET BREWING COMPANY,San Juan Bautista,Alvarado Street Hopres Ski,Alvarado Street Hopres Ski was not cleaned last cycle,
109,tap change,18th Barrel Tasting Room (San Juan Bautista/3rd),ALVARADO STREET BREWING COMPANY,San Juan Bautista,Alvarado Street Monterey Beer,Alvarado Street Monterey Beer was not cleaned last cycle,
110,tap change,18th Barrel Tasting Room (San Juan Bautista/3rd),DISCRETION BREWING,San Juan Bautista,Discretion Brewing Hi Citra,Discretion Brewing Hi Citra was not cleaned last cycle,
111,tap change,18th Barrel Tasting Room (San Juan Bautista/3rd),DISCRETION BREWING,San Juan Bautista,Discretion Brewing Redwood Mountain Blonde,Discretion Brewing Redwood Mountain Blonde was not cleaned last cycle,
112,tap change,18th Barrel Tasting Room (San Juan Bautista/3rd),ELYXIR DISTRIBUTING,San Juan Bautista,Lost Coast Tangerine Wheat,Lost Coast Tangerine Wheat was not cleaned last cycle,
113,tap change,18th Barrel Tasting Room (San Juan Bautista/3rd),ELYXIR DISTRIBUTING,San Juan Bautista,Seismic Brewing Namazu,Seismic Brewing Namazu was not cleaned last cycle,
114,tap change,19 Handles (Sacramento/Arden),GOLDEN BRANDS - SACRAMENTO,Sacramento,Karl Strauss Boat Shoes Hazy IPA,Karl Strauss Boat Shoes Hazy IPA was not cleaned last cycle,
115,tap change,20twenty Cheese Bar (San Jose/Lincoln),GOLDEN BRANDS - SAN JOSE,San Jose,Russian River Happy Hops,Russian River Happy Hops was not cleaned last cycle,
116,tap change,20twenty Cheese Bar (San Jose/Lincoln),GOLDEN BRANDS - SAN JOSE,San Jose,Russian River Pliny The Elder,Russian River Pliny The Elder was not cleaned last cycle,
117,tap change,20twenty Cheese Bar (San Jose/Lincoln),WINE WAREHOUSE,San Jose,Anderson Valley Framboise Rose Gose,Anderson Valley Framboise Rose Gose was not cleaned last cycle,
118,tap change,20twenty Cheese Bar (San Jose/Lincoln),WINE WAREHOUSE,San Jose,Hofbrau,Hofbrau was not cleaned last cycle,
119,tap change,20twenty Cheese Bar (San Jose/Lincoln),WINE WAREHOUSE,San Jose,Mother Earth Special Release,Mother Earth Special Release was not cleaned last cycle,
120,tap change,2M - 99 Bottles Of Beer On The Wall (Santa Cruz/Walnut),COUCH DISTRIBUTING,Santa Cruz,Kona Big Wave Golden Ale,Kona Big Wave Golden Ale was not cleaned last cycle,
121,tap change,2M - 99 Bottles Of Beer On The Wall (Santa Cruz/Walnut),COUCH DISTRIBUTING,Santa Cruz,Kona Brewing Gold Cliff IPA,Kona Brewing Gold Cliff IPA was not cleaned last cycle,
122,tap change,2M - 99 Bottles Of Beer On The Wall (Santa Cruz/Walnut),PREMIUM BEVERAGE,Santa Cruz,Dust Bowl,Dust Bowl was not cleaned last cycle,
123,tap change,2M - 99 Bottles Of Beer On The Wall (Santa Cruz/Walnut),WINE WAREHOUSE (CA12),Santa Cruz,Port Brewing Mango Ipa,Port Brewing Mango Ipa was not cleaned last cycle,
124,tap change,2M - 99 Bottles Of Beer On The Wall (Santa Cruz/Walnut),WINE WAREHOUSE (CA12),Santa Cruz,The Bruery,The Bruery was not cleaned last cycle,
125,tap change,2M - Albany Taproom (Albany/San Pablo),WINE WAREHOUSE,Albany,The Bruery 12 Drummers Drumming,The Bruery 12 Drummers Drumming was not cleaned last cycle,
126,tap change,2M - Badlands (Sacramento/K),GOLDEN BRANDS - SACRAMENTO,Sacramento,Anchor Brewing San Franpsycho,Anchor Brewing San Franpsycho was not cleaned last cycle,
127,tap change,2M - Badlands (Sacramento/K),SACCANI,Sacramento,Wyders Pear Cider,Wyders Pear Cider was not cleaned last cycle,
128,tap change,2M - Boneshaker Public House (Rocklin/Sunset),GOLDEN BRANDS - SACRAMENTO,Rocklin,Fall River Brewing Numb Numb Juice,Fall River Brewing Numb Numb Juice was not cleaned last cycle,
129,tap change,2M - Boneshaker Public House (Rocklin/Sunset),GOLDEN BRANDS - SACRAMENTO,Rocklin,Heretic Hefeweizen,Heretic Hefeweizen was not cleaned last cycle,
130,tap change,2M - Boneshaker Public House (Rocklin/Sunset),GOLDEN BRANDS - SACRAMENTO,Rocklin,Karl Strauss Barrel Aged Stout,Karl Strauss Barrel Aged Stout was not cleaned last cycle,
131,tap change,2M - Boneshaker Public House (Rocklin/Sunset),GOLDEN BRANDS - SACRAMENTO,Rocklin,Karl Strauss Murky Poetry,Karl Strauss Murky Poetry was not cleaned last cycle,
132,tap change,2M - Boneshaker Public House (Rocklin/Sunset),MARKSTEIN BEVERAGE CO - SACTO (CA08),Rocklin,Russian River Blind Pig IPA,Russian River Blind Pig IPA was not cleaned last cycle,
133,tap change,2M - Boneshaker Public House (Rocklin/Sunset),MARKSTEIN BEVERAGE CO - SACTO (CA08),Rocklin,Russian River Pliney the Elder,Russian River Pliney the Elder was not cleaned last cycle,
134,tap change,2M - Boneshaker Public House (Rocklin/Sunset),MUSSETTER,Rocklin,Dust Bowl Brewing Lager Taco Truck,Dust Bowl Brewing Lager Taco Truck was not cleaned last cycle,
135,tap change,2M - Boneshaker Public House (Rocklin/Sunset),MUSSETTER,Rocklin,Fieldwork Mighty Wings,Fieldwork Mighty Wings was not cleaned last cycle,
136,tap change,2M - Boneshaker Public House (Rocklin/Sunset),MUSSETTER,Rocklin,Henhouse/Altamont Hella Stoked,Henhouse/Altamont Hella Stoked was not cleaned last cycle,
137,tap change,2M - Boulevard 41 (El Dorado Hills/Town Center),Boulevard 41,El Dorado Hills,Monks Cellar Act Of Quad,Monks Cellar Act Of Quad was not cleaned last cycle,
138,tap change,2M - Boulevard 41 (El Dorado Hills/Town Center),Boulevard 41,El Dorado Hills,Monks Cellar The Half Nelson,Monks Cellar The Half Nelson was not cleaned last cycle,
139,tap change,2M - Boulevard 41 (El Dorado Hills/Town Center),Boulevard 41,El Dorado Hills,Moonraker Zebu NE Pale,Moonraker Zebu NE Pale was not cleaned last cycle,
140,tap change,2M - Boulevard 41 (El Dorado Hills/Town Center),GOLDEN BRANDS - SACRAMENTO,El Dorado Hills,Heretic Brewing Company Lager,Heretic Brewing Company Lager was not cleaned last cycle,
141,tap change,2M - Boulevard 41 (El Dorado Hills/Town Center),MARKSTEIN BEVERAGE CO - SACTO (CA08),El Dorado Hills,Revision Brewing Blonde NV,Revision Brewing Blonde NV was not cleaned last cycle,
142,tap change,2M - Boulevard 41 (El Dorado Hills/Town Center),MARKSTEIN BEVERAGE CO - SACTO (CA08),El Dorado Hills,Revision Brewing Hazy Life,Revision Brewing Hazy Life was not cleaned last cycle,
143,tap change,2M - Boulevard 41 (El Dorado Hills/Town Center),MUSSETTER,El Dorado Hills,2 Towns Ciderhouse Easy Squeezy,2 Towns Ciderhouse Easy Squeezy was not cleaned last cycle,
144,tap change,2M - Boulevard 41 (El Dorado Hills/Town Center),MUSSETTER,El Dorado Hills,Alesmith Brewing Opus Two,Alesmith Brewing Opus Two was not cleaned last cycle,
145,tap change,2M - Boulevard 41 (El Dorado Hills/Town Center),MUSSETTER,El Dorado Hills,Maui Brewing Bikini Blonde Lager,Maui Brewing Bikini Blonde Lager was not cleaned last cycle,
146,tap change,2M - Boulevard 41 (El Dorado Hills/Town Center),SACCANI,El Dorado Hills,Six Rivers Brewery Macadamia Nut Porter,Six Rivers Brewery Macadamia Nut Porter was not cleaned last cycle,
147,tap change,2M - Boulevard 41 (El Dorado Hills/Town Center),SACCANI,El Dorado Hills,Sudwerk Hefeweizen,Sudwerk Hefeweizen was not cleaned last cycle,
148,tap change,2M - Boulevard 41 (El Dorado Hills/Town Center),WINE WAREHOUSE,El Dorado Hills,Stem Cider Off Dry,Stem Cider Off Dry was not cleaned last cycle,
149,tap change,2M - Brass Tap (Vacaville/Orange),MARKSTEIN BEVERAGE CO - SOLANO,Vacaville,Ballast Point Mocha Marlin,Ballast Point Mocha Marlin was not cleaned last cycle,
150,tap change,2M - Brass Tap (Vacaville/Orange),MARKSTEIN BEVERAGE CO - SOLANO,Vacaville,Device Brewery Integral IPA,Device Brewery Integral IPA was not cleaned last cycle,
151,tap change,2M - Brass Tap (Vacaville/Orange),MARKSTEIN BEVERAGE CO - SOLANO,Vacaville,Seismic Brewing Namazu,Seismic Brewing Namazu was not cleaned last cycle,
152,tap change,2M - Brass Tap (Vacaville/Orange),MUSSETTER,Vacaville,Fieldwork Brewing Blanc Devereaux,Fieldwork Brewing Blanc Devereaux was not cleaned last cycle,
153,tap change,2M - Brass Tap (Vacaville/Orange),MUSSETTER,Vacaville,Fieldwork Joyous Chaotic,Fieldwork Joyous Chaotic was not cleaned last cycle,
154,tap change,2M - Brass Tap (Vacaville/Orange),MUSSETTER,Vacaville,Mason Ale Works Naughty,Mason Ale Works Naughty was not cleaned last cycle,
155,tap change,2M - Brass Tap (Vacaville/Orange),SACCANI,Vacaville,Belching Beaver Beaver Life,Belching Beaver Beaver Life was not cleaned last cycle,
156,tap change,2M - Brass Tap (Vacaville/Orange),SACCANI,Vacaville,Full Circle Chinatown Underground,Full Circle Chinatown Underground was not cleaned last cycle,
157,tap change,2M - Brass Tap (Vacaville/Orange),SACCANI,Vacaville,Lagunitas Ipa,Lagunitas Ipa was not cleaned last cycle,
158,tap change,2M - Brass Tap (Vacaville/Orange),SACCANI,Vacaville,Lead Dog Brewing Vanilla,Lead Dog Brewing Vanilla was not cleaned last cycle,
