,distributor,serviceable,distactive,locid,city,address1,zip,tapname,bid,zonevalue,area,did,client,clientNumber,recurDescription,quantity,dist_tap_audit,brewery_dist_audit
41,ALTAMONT BEER WORKS,True,True,3721,Lafayette,3577 Mt Diablo Blvd,94549,Altamont Beer Works Maui Waui,1054244,CA07,,157,Patxis Pizza (Lafayette/Mt Diablo),,anytime after 9am,1,,
42,ALTAMONT BEER WORKS,True,True,2700,Livermore,125 N Livermore Ave,94550,Altamont Beer Works Shot Away IPA,1067456,CA07,,157,Good Time Tavern (Livermore/N Livermore),,Thursdays around noon best access time,1,,
43,ALTAMONT BEER WORKS,True,True,11325,Livermore,132 S Vasco Road,94551,Altamont Beer Works Hella Hoppy,3520,CA07,,157,Blue Robin Premium Pizza (Livermore/S Vasco),,,1,,
44,ALTAMONT BEER WORKS,True,True,11325,Livermore,132 S Vasco Road,94551,Altamont Beer Works Maui Waui,1054244,CA07,,157,Blue Robin Premium Pizza (Livermore/S Vasco),,,1,,
45,ALTAMONT BEER WORKS,True,True,4800,Livermore,1722 1St St,94550,Altamont Beer Works Caddy Shack,1149762,CA07,,157,Vine Cinema & Alehouse (Livermore/1St),336526.0,kway@vinecinema.com,1,,
46,ALTAMONT BEER WORKS,True,True,4800,Livermore,1722 1St St,94550,Altamont Beer Works Hella Hoppy,3520,CA07,,157,Vine Cinema & Alehouse (Livermore/1St),336526.0,kway@vinecinema.com,1,,
47,ALTAMONT BEER WORKS,True,True,4800,Livermore,1722 1St St,94550,Altamont Beer Works Shot Away IPA,1067456,CA07,,157,Vine Cinema & Alehouse (Livermore/1St),336526.0,kway@vinecinema.com,1,,
48,ALTAMONT BEER WORKS,True,True,6310,Livermore,1736 First St,94550,Altamont Beer Works Maui Waui,1054244,CA07,,157,Zephyr Grill & Bar (Livermore/First),,7am access,1,,
49,ALTAMONT BEER WORKS,True,True,2054,Livermore,175 E Vineyard Ave,94550,Altamont Beer Works Rich Mahogany,4241,CA07,,157,Campo Di Bocce (Livermore/E Vineyard),,"Access 630am, must be completed before 11am",2,,
50,ALTAMONT BEER WORKS,True,True,1026928,Livermore,1770 1st St,94550,Altamont Beer Works Maui Waui IPA,1174821,CA07,,157,Beach Hut Deli (Livermore/1st),,"Best access time is 10AM, no later than 10:30am",1,,
51,ALTAMONT BEER WORKS,True,True,1958,Livermore,1790 1st St,94550,Altamont Beer Work Maui Waui IPA,1189160,CA07,,157,2M - Buffalo Wild Wings (Livermore/1st),,8-10AM access,1,,
52,ALTAMONT BEER WORKS,True,True,1958,Livermore,1790 1st St,94550,Altamont Beer Works Hella Hoppy,3520,CA07,,157,2M - Buffalo Wild Wings (Livermore/1st),,8-10AM access,1,,
53,ALTAMONT BEER WORKS,True,True,3856,Livermore,1845 1St St,94550,Altamont Beer Works Hella Hoppy,3520,CA07,,157,Polomoni (Livermore/1St),,access after 6am,1,,
54,ALTAMONT BEER WORKS,True,True,2455,Livermore,186 Maple St,94550,Altamont Beer Works Shot Away,6519,CA07,,157,El Charro Mexican Food & Cantina (Livermore/Maple),,anytime after 9am,1,,
55,ALTAMONT BEER WORKS,True,True,3985,Livermore,190 S J St,94550,Altamont Beer Works Hella Lite,4565,CA07,,157,Riata Diner & Tavern (Livermore/S J),,"No Mondays
6:15AM-Out by 10AM
The cook can let you in per manager",1,,
56,ALTAMONT BEER WORKS,True,True,3985,Livermore,190 S J St,94550,Altamont Beer Works Maui Waui,1054244,CA07,,157,Riata Diner & Tavern (Livermore/S J),,"No Mondays
6:15AM-Out by 10AM
The cook can let you in per manager",1,,
57,ALTAMONT BEER WORKS,True,True,1044864,Livermore,2057 Third St,94550,Altamont Beer Works Nu Clear,1195862,CA07,,157,Livermore Barber Shop (Livermore/Third),,Access any time after 9am,1,,
58,ALTAMONT BEER WORKS,True,True,1083371,Livermore,2074 Second St,94550,Altamont Beer Works Hella Hoppy,3520,CA07,,157,Monica's Livermore (Livermore/Second),,,1,,
59,ALTAMONT BEER WORKS,True,True,1083371,Livermore,2074 Second St,94550,Altamont Beer Works Maui Waui,1054244,CA07,,157,Monica's Livermore (Livermore/Second),,,1,,
60,ALTAMONT BEER WORKS,True,True,2596,Livermore,2086 First St,94550,Altamont Beer Works Hella Hoppy,3520,CA07,,157,First Street Alehouse (Livermore/First),326405.0,"access is 7am-11am. done by 11am preferred
Do not clean wine lines this cycle",1,,
61,ALTAMONT BEER WORKS,True,True,3278,Livermore,2181 1St St,94550,Altamont Beer Works Maui Waui,1054244,CA07,,157,Marios French Dip (Livermore/1St),,access any time after 10am,1,,
62,ALTAMONT BEER WORKS,True,True,1044467,Livermore,2219 Third St,94550,Altamont Beer Work Maui Waui IPA,1189160,CA07,,157,Cut to the Chase Barbershop (Livermore/Third),,"""not open on Monday

Tuesday -thursday hours are 9am-8pm
Friday- Saturday 9am-6pm""",1,,
63,ALTAMONT BEER WORKS,True,True,1015690,Livermore,2235 First St,94550,Altamont Beer Works Maui Waui,1054244,CA07,,157,Demitris Taverna (Livermore/First),,"No Mondays
too busy for service. Future access time 8am-11am",1,,
64,ALTAMONT BEER WORKS,True,True,3099,Livermore,2270 Las Positas Rd,94551,Altamont Beer Works Rich Mahogany,4241,CA07,,157,Lanna Thai Restaurant (Livermore/Las Positas),342608.0,,1,,
65,ALTAMONT BEER WORKS,True,True,3099,Livermore,2270 Las Positas Rd,94551,Altamont Beer Works Shot Away,6519,CA07,,157,Lanna Thai Restaurant (Livermore/Las Positas),342608.0,,1,,
66,ALTAMONT BEER WORKS,True,True,4224,Livermore,2300 1St St,94550,Altamont Beer Works Juice Above the Clouds,1023560,CA07,,157,Sauced BBQ & Spirits (Livermore/1st),342551.0,"access as early as 7am, knock on back door",1,,
67,ALTAMONT BEER WORKS,True,True,1015676,Livermore,2490 First St,94550,Altamont Beer Works Shot Away IPA,1067456,CA07,,157,Livermore 13 Cinemas (Livermore/First),,,1,,
68,ALTAMONT BEER WORKS,True,True,1044863,Livermore,2929 Constitution Dr,94551,Altamont Beer Works Rich Mahogany,4241,CA07,,157,Courtyard Marriott (Livermore/Constitution),,,1,,
69,ALTAMONT BEER WORKS,True,True,2083,Livermore,325 S L St,94550,Altamont Beer Works Shot Away,6519,CA07,,157,Casa Orozco (Livermore/South L),,access after 9AM,1,,
70,ALTAMONT BEER WORKS,True,True,6309,Livermore,39 S Livermore Ave Ste 125,94550,Altamont Beer Works Maui Waui,1054244,CA07,,157,Uncle Yu's (Livermore/S Livermore),,,1,,
71,ALTAMONT BEER WORKS,True,True,2185,Livermore,4261 First St,94550,Altamont Beer Works Hella Hoppy,3520,CA07,,157,Chilis (Livermore/First),,7:30 - 11am access only,1,,
72,ALTAMONT BEER WORKS,True,True,3858,Livermore,4280 Greenville Rd,94550,Altamont Beer Works Catty Shack,9161,CA07,,157,Poppy Ridge Golf Course (Livermore/Greenville Rd),,Access time 8am-11am Monday-saturday,1,,
73,ALTAMONT BEER WORKS,True,True,3321,Livermore,4433 First St,94550,Altamont Beer Works Berry White,4333,CA07,,157,Melos Pizza (Livermore/First),,anytime after 9am access,1,,
74,ALTAMONT BEER WORKS,True,True,3321,Livermore,4433 First St,94550,Altamont Beer Works Shot Away,6519,CA07,,157,Melos Pizza (Livermore/First),,anytime after 9am access,1,,
75,ALTAMONT BEER WORKS,True,True,6308,Livermore,633 Kalthoff Common,94550,Altamont Beer Works Basic Bitch,15914,CA07,,157,Tenuta Vineyards (Livermore/Kalthoff Common),,,1,,
76,ALTAMONT BEER WORKS,True,True,6308,Livermore,633 Kalthoff Common,94550,Altamont Beer Works Berry White,4333,CA07,,157,Tenuta Vineyards (Livermore/Kalthoff Common),,,1,,
77,ALTAMONT BEER WORKS,True,True,6308,Livermore,633 Kalthoff Common,94550,Altamont Beer Works Maui Waui,1054244,CA07,,157,Tenuta Vineyards (Livermore/Kalthoff Common),,,1,,
78,ALTAMONT BEER WORKS,True,True,6308,Livermore,633 Kalthoff Common,94550,Altamont Beer Works Shot Away IPA,1067456,CA07,,157,Tenuta Vineyards (Livermore/Kalthoff Common),,,1,,
79,ALTAMONT BEER WORKS,True,True,1044468,Livermore,6474 Patterson Pass Rd,94550,Altamont Beer Works Maui Waui,1054244,CA07,,157,East Bay Sports (Livermore/Patterson),,"Lock Box Code 1647 located on the office door to the left of the main doors

Hours of Operation Mon, Tues, Thurs, Fri 5pm-9pm Weds 4pm-9pm Sat 9-5pm Sun 930-9pm No one onsite.

Lock Box Code 1647",1,,
80,ALTAMONT BEER WORKS,True,True,1044468,Livermore,6474 Patterson Pass Rd,94550,Altamont Beer Works Shot Away,6519,CA07,,157,East Bay Sports (Livermore/Patterson),,"Lock Box Code 1647 located on the office door to the left of the main doors

Hours of Operation Mon, Tues, Thurs, Fri 5pm-9pm Weds 4pm-9pm Sat 9-5pm Sun 930-9pm No one onsite.

Lock Box Code 1647",1,,
81,ALTAMONT BEER WORKS,True,True,4727,Livermore,6611 Preston Avenue,94550,Altamont Beer Works Maui Waui,1054244,CA07,,157,Tri Valley Ice (Livermore/Preston Avenue),,anytime after 9:30am,1,,
82,ALTAMONT BEER WORKS,True,True,4727,Livermore,6611 Preston Avenue,94550,Altamont Beer Works Rich Mahogany,4241,CA07,,157,Tri Valley Ice (Livermore/Preston Avenue),,anytime after 9:30am,1,,
83,ALTAMONT BEER WORKS,True,True,4727,Livermore,6611 Preston Avenue,94550,Altamont Beer Works Shot Away,6519,CA07,,157,Tri Valley Ice (Livermore/Preston Avenue),,anytime after 9:30am,1,,
84,ALTAMONT BEER WORKS,True,True,1026915,Livermore,833 E Stanley Blvd,94550,Altamont Beer Works Hella Hoppy,3520,CA07,,157,833 Brick Cafe (Livermore/E Stanley),,7am more accurate access time,1,,
85,ALTAMONT BEER WORKS,True,True,1026915,Livermore,833 E Stanley Blvd,94550,Altamont Beer Works Maui Waui,1054244,CA07,,157,833 Brick Cafe (Livermore/E Stanley),,7am more accurate access time,1,,
86,ALTAMONT BEER WORKS,True,True,3776,Livermore,875 Rincon Avenue,94550,Altamont Beer Works Shot Away,6519,CA07,,157,Pine Street Grill (Livermore/Rincon Avenue),,,1,,
87,ALTAMONT BEER WORKS,True,True,1772,Livermore,915 Club House Dr,94551,Altamont Beer Juice Above The Clouds,1195213,CA07,,157,Beebs Bar & Grill (Livermore/Club House),,6am access,1,,
88,ALTAMONT BEER WORKS,True,True,1081834,Livermore,940 Larkspur Dr,94551,Altamont Beer Works Maui Waui,1054244,CA07,,157,Elks Lodge (Livermore/Larkspur),,,1,,
89,ALTAMONT BEER WORKS,True,True,1041897,Lodi,14 S School St Ste A,95240,Altamont Beer Works Juice Above the Clouds,1023560,CA14,,157,Brix & Hops Tasting Room (Lodi/S School),351227.0,"Be there at 11am - Call Ahead
209-629-5542 stephanie",1,,
90,ALTAMONT BEER WORKS,True,True,1041897,Lodi,14 S School St Ste A,95240,Altamont Beer Works Something New,6046,CA14,,157,Brix & Hops Tasting Room (Lodi/S School),351227.0,"Be there at 11am - Call Ahead
209-629-5542 stephanie",1,,
91,ALTAMONT BEER WORKS,True,True,3709,Milpitas,1350 S Park Victoria Dr,95035,Altamont Beer Works,1057598,CA01,,157,2M - Park Town Pizza (Milpitas/S Park Victoria),354556.0,,1,,
92,ALTAMONT BEER WORKS,True,True,4444,Milpitas,1426 Dempsy Road,95035,Altamont Beer Works Hella Hoppy,3520,CA01,,157,2M - Stuft Pizza (Milpitas/Dempsy),321900.0,info@StuftPizzaMilpitas.com,1,,
93,ALTAMONT BEER WORKS,True,True,13528,Mountain View,191 Castro St,94041,Altamont Beer Works Rich Mahogany,4241,CA04,,157,2M - Eureka (Mountain View/Castro),350876.0,mountainview@eurekarestaurantgroup.com,1,,
94,ALTAMONT BEER WORKS,True,True,3679,Mountain View,545 San Antonio Rd,94040,Altamont Beer Works Maui Waui,1054244,CA04,,157,Pacific Catch (Mountain View/San Antonio),346555.0,"*no service unless a manager is present*
Monday only - 7am access and out by 10 am only, can only enter account with Cesar",1,,
95,ALTAMONT BEER WORKS,True,True,4405,Mountain View,895 Villa St,94041,Altamont Beer Works Maui Waui,1054244,CA04,,157,2M - Stein's (Mountain View/Villa),343599.0,"alex@steinsbeergarden.com
6am access",1,,
96,ALTAMONT BEER WORKS,True,True,1026918,Newark,2086 Newpark Mall,94560,Altamont Beer Works Maui Wowie,3686,CA03,,157,Jack's Restaurant and Bar (Newark/Newpark),,"7am-9am access time. if come at 7am use loading dock entrance.
wifi password ilovejacks$",1,,
97,ALTAMONT BEER WORKS,True,True,8096,Oakland,135 12th St.,94612,Altamont Beer Works,1057598,CA03,,157,2M - Mad Oak (Oakland/12th),349072.0,alarm code is 9999,1,,
98,ALTAMONT BEER WORKS,True,True,1095390,Oakland,2042 Mountain Blvd #109,94611,Altamont Beer Works Maui Waui,1054244,CA03,,157,Mountain Mikes (Oakland/Mountain),,Accesss 9 :30-10am,1,,
99,ALTAMONT BEER WORKS,True,True,2108,Oakland,3891 Piedmont Ave,94611,Altamont Beer Works L Town,1055733,CA03,,157,Catos Ale House (Oakland/Piedmont),303887.0,"Mon-Fri before 11:30AM
Call Adam before arriving to confirm cleaning (574)4859982",1,x,x
100,ALTAMONT BEER WORKS,True,True,3719,Palo Alto,441 Emerson St,94301,Altamont Beer Works Maui Waui,1054244,CA04,,157,Patxis Chicago Pizza (Palo Alto/Emerson),,,1,,
101,ALTAMONT BEER WORKS,True,True,3719,Palo Alto,441 Emerson St,94301,Altamont Beer Works Nutty Operator,1020989,CA04,,157,Patxis Chicago Pizza (Palo Alto/Emerson),,,1,,
102,ALTAMONT BEER WORKS,True,True,2281,Pleasant Hill,801 Golf Club Rd,94523,Altamont Beer Works Shot Away,6519,CA07,,157,Contra Costa Country & Golf Club (Pleasant Hill/Golf Club),,Lock Box Code: 1925,1,,
103,ALTAMONT BEER WORKS,True,True,1081827,Pleasanton,2693 Stoneridge Dr,94588,Altamont Beer Works Hella Hoppy IPA,1058865,CA07,,157,Jinya Ramen Bar (Pleasanton/Stoneridge),356221.0,"Access: 10:15-11:30 or 2-3:30

Clean and bill Sapporo at this location",1,,
104,ALTAMONT BEER WORKS,True,True,1081827,Pleasanton,2693 Stoneridge Dr,94588,Altamont Beer Works Rich Mahogany,4241,CA07,,157,Jinya Ramen Bar (Pleasanton/Stoneridge),356221.0,"Access: 10:15-11:30 or 2-3:30

Clean and bill Sapporo at this location",1,,
105,ALTAMONT BEER WORKS,True,True,1076660,Pleasanton,30 W Angela St,94566,Altamont Beer Work Maui Waui IPA,1189160,CA07,,157,Sidetrack Bar + Grill (Pleasanton/W Angela),,"Access Mon-Wed 9am, must be done before 1030am
No Thur/Fri",1,,
106,ALTAMONT BEER WORKS,True,True,1044461,Pleasanton,310 Main St Ste B,94566,Altamont Beer Works Maui Waui,1054244,CA07,,157,Pairings Wine Bar Restaurant (Pleasanton/Main),,"Access 11am, must be done before 330pm",1,,
107,ALTAMONT BEER WORKS,True,True,941,Salinas,700 W Market St,93901,Altamont Beer Work Maui Waui IPA,1189160,CA12,,157,Salinas City Bbq (Salinas/W Market),,5am access everyday,1,,
108,ALTAMONT BEER WORKS,True,True,941,Salinas,700 W Market St,93901,Altamont Beer Works Basic Bitch,15914,CA12,,157,Salinas City Bbq (Salinas/W Market),,5am access everyday,1,,
109,ALTAMONT BEER WORKS,True,True,941,Salinas,700 W Market St,93901,Altamont Beer Works Rich Mahogany,4241,CA12,,157,Salinas City Bbq (Salinas/W Market),,5am access everyday,1,,
110,ALTAMONT BEER WORKS,True,True,1016744,San Francisco,1423 Polk St,94109,Altamont Beer Works Maui Wowie,3686,CA13,,157,Hi-Lo Club (San Francisco/Polk),,"hilo.sf@gmail.com
2:30 pm access",1,,
111,ALTAMONT BEER WORKS,True,True,1798,San Jose,1431 Bird Ave,95125,Altamont Beer Works Instantstratafication,1212718,CA01,,157,Bibos NY Pizza (San Jose/Bird),353819.0,fouad.elian@gmail.com,1,x,x
112,ALTAMONT BEER WORKS,True,True,9078,San Jose,3250 Zanker Rd 30,95134,Altamont Beer Works Maui Waui,1054244,CA04,,157,Curry Up Now (San Jose/Zanker),349961.0,"Access at 10AM
Please collect email",1,,
113,ALTAMONT BEER WORKS,True,True,1015708,San Jose,5018 Almaden Expy. Suit 30,95118,Altamont Beer Works Scarcity IIIPA,1139874,CA01,,157,Smoke Eaters (San Jose/Almaden Expwy),352052.0,,1,,
114,ALTAMONT BEER WORKS,True,True,1088237,San Jose,52 E Santa Clara St,95113,Altamont Beer Works,1057598,CA01,,157,2M - Miniboss (San Jose/E Santa Clara),356992.0,Thursday only,1,,
115,ALTAMONT BEER WORKS,True,True,7540,San Jose,71 N San Pedro St,95110,Altamont Beer Juice Above The Clouds,1195213,CA01,,157,71 Saint Peter (San Jose/N San Pedro),347131.0,,1,,
116,ALTAMONT BEER WORKS,True,True,1109659,San Jose,78 S 1St,95113,Altamont Beer Works Scar City,1059374,CA04,,157,Pizza Flora (San Jose/S 1st),358400.0,,1,,
117,ALTAMONT BEER WORKS,True,True,2516,San Leandro,101 Parrott St,94577,Altamont Beer Works Maui Waui,1054244,CA03,,157,Englander (San Leandro/Parrott),346839.0,"Only service left side ""jeff cleans"" this cycle",1,,
118,ALTAMONT BEER WORKS,True,True,2516,San Leandro,101 Parrott St,94577,Altamont Beer Works Scarcity IIIPA,1139874,CA03,,157,Englander (San Leandro/Parrott),346839.0,"Only service left side ""jeff cleans"" this cycle",1,,
119,ALTAMONT BEER WORKS,True,True,1081844,San Leandro,600 Dutton Ave,94577,Altamont Beer Work Maui Waui IPA,1189160,CA03,,157,Rubianos (San Leandro/Dutton),,Access T-F after 11am,1,,
120,ALTAMONT BEER WORKS,True,True,1961,San Ramon,200 Montgomery St,94583,Altamont Beer Works Hella Hoppy,3520,CA07,,157,2M - Buffalo Wild Wings (San Ramon/Montgomery),,Please collect email,1,,
121,ALTAMONT BEER WORKS,True,True,1961,San Ramon,200 Montgomery St,94583,Altamont Beer Works Maui Waui,1054244,CA07,,157,2M - Buffalo Wild Wings (San Ramon/Montgomery),,Please collect email,1,,
